Filename,Label
a01-003-10.png,institution.
a01-003u-04.png,be that as Labour M Ps opposed the
a01-003u-05.png,Government Bill which brought life peers
a01-003x-02.png,down the Foot-Griffiths resolution. Mr. Foot's line
a01-003x-03.png,will be that as Labour 0M Ps opposed the Govern-
a01-003x-08.png,appear to &quot;prop up&quot; an out-dated institution.
a01-007x-00.png,"Since 1958, 13 Labour life Peers and #"
a01-011x-00.png,Delegates from Mr. Kenneth Kaunda's United
a01-011x-02.png,and Mr. Harry Nkumbula's African National
a01-011x-03.png,"Congress (400,000) will meet in London today"
a01-011x-05.png,Sir Roy is violently opposed to Africans
a01-011x-06.png,getting an elected majority in Northern
a01-014u-08.png,at Chequers.
a01-014x-01.png,the London talks on the Protectorate's
a01-014x-03.png,&quot;We want to discuss what to do if the
a01-020x-08.png,of Chiefs.
a01-026-09.png,Mr. Macmillan.
a01-038-12.png,talks.
a01-038x-00.png,Mr. Macleod thought the two Rhodesian parties
a01-038x-02.png,had found messages sent from the Government were
a01-038x-05.png,"Sir Roy's representative, Mr. Julius Greenfield. He was"
a01-038x-06.png,at Chequers last week-end. They said they regarded
a01-043u-09.png,projects.
a01-043x-02.png,the appointment of a Negro as his Housing Minister.
a01-043x-03.png,It has aroused strong opposition from the anti-Negro
a01-043x-05.png,Robert Weaver of New York. One of his tasks
a01-049-05.png,"by another Southern Senator - Willis Robertson,"
a01-049u-09.png,Robertson later disclosed he had sent a letter
a01-049x-08.png,Senator Robertson later disclosed he had sent a
a01-049x-09.png,letter to Mr. Kennedy saying he had received several
a01-053-06.png,"He believed he would perform ""outstanding"
a01-053x-06.png,"service"" in his post. Senator Robertson's"
a01-058-06.png,that his Government would try to get
a01-058x-09.png,German Chancellor.
a01-063-07.png,payment of a 210million debt to America.
a01-063-10.png,anyway.
a01-087-08.png,always come first.
a01-091-10.png,supporters.
a01-096u-10.png,people.
a01-102-09.png,from the real problems to fiddling about
a01-113-08.png,the Korean war.
a01-122u-10.png,carried on.
a01-132-11.png,grants.
a01-132x-00.png,&quot;That cannot continue without either development
a01-132x-07.png,foods would still be free in families receiving
a02-000-00.png,MR. Macmillan has picked a strong &quot;brains trust&quot;
a02-000-03.png,Gaulle this month to smooth the way. General
a02-000-04.png,de Gaulle's official welcome last week
a02-000-06.png,"taken as a friendly gesture in Whitehall,"
a02-004-01.png,the Prime Minister to Paris was dropped
a02-004-03.png,hand-picked team under the leadership of
a02-004-04.png,"Sir Pierson Dixon, Britain's Ambassador to"
a02-004-05.png,"France, to back Mr. Edward Heath, Lord"
a02-004-06.png,"Privy Seal, who is charged with the conduct"
a02-012-00.png,The team is composed of experienced
a02-012-01.png,negotiators in several fields. Sir Pier-
a02-012-03.png,a skilful backstage negotiator since
a02-012-04.png,his days as Britain's chief UN dele-
a02-012-08.png,"Food, and Fisheries. The Foreign Office"
a02-020-06.png,Council meeting.
a02-027-03.png,including a compulsory savings scheme which the
a02-027-04.png,Ghana Government introduced in July. Ghana's strong
a02-027-06.png,having made his contribution to the neutrals' conference
a02-027-07.png,"in Belgrade, has resumed his holiday on the Black"
a02-027-09.png,will return.
a02-032-05.png,Government has been urged to take immediate ac-
a02-037-04.png,"a &quot;limited state of emergency&quot; was declared, giving"
a02-037-05.png,the Government adequate power to maintain all
a02-037-06.png,essential services and ensure food supplies. Thus it
a02-037-08.png,for anyone who &quot;publishes a report likely to cause
a02-042-04.png,"they are still holding out despite the presence of 1,400"
a02-042-07.png,Accra?
a02-050-06.png,in Accra.
a02-050-07.png,* enough
a02-057-08.png,was not.
a02-062-07.png,Mr. Clark.
a02-067-04.png,are &quot;likely to persevere in such unlawful
a02-067-08.png,"yesterday. His secretary, American-born"
a02-086-00.png,&quot;Against this background must be taken Mr.
a02-090-04.png,if UNIP did not get its way what would happen
a02-090-06.png,child's picnic.&quot;
a02-093-04.png,Commonwealth Relations Secretary for an hour's talks
a02-093-05.png,at Admiralty House. A statement is expected today
a02-098-04.png,African nationalists. Mr. Macleod has ample evidence
a02-098-06.png,"Liberal leader, and Mr. Kaunda, that the bulk"
a02-106-04.png,The question: Their status in an independent Uganda.
a02-106-08.png,recognised their rights and recommended a form of
a02-106-09.png,"federal association, but the four kings are not"
a02-111-05.png,Government authority yet presented by the
a02-111-11.png,group.
a02-116-08.png,jailed for a month.
a03-014-04.png,"ister, to return to Laos. No details of"
a03-014-05.png,"their mission have been disclosed, but it"
a03-014-07.png,Boun Oum was considering asking
a03-014-08.png,Prince Souvanna Phouma to join his
a03-020-07.png,"Prince Souphannouvong, leader"
a03-027-09.png,leader.
a03-047-09.png,"politician, able to talk about sewage problems"
a03-059-08.png,Canada to the problems of the Atlantic
a03-059-11.png,"increasingly confident of return to power,"
a03-063-00.png,Sentence Database
a03-073-11.png,like to see used.
